CAREER,INTEREST AREAS,REQUIRED SKILLS,DEGREES,CERTIFICATIONS,TOOLS/TECHNOLOGIES,PROJECT EXAMPLES,ENTRY LEVEL JOB TITLE,HIGHER OPPORTUNITIES,TOP COMPANIES,LEARNING RESOURCES,ROADMAP,FIELD
Accountant (Keeps and checks financial records for people or companies),"banking, finance, money, taxes, audit, accounts, commerce, business studies, maths, statistics, budgeting, reporting, excel, economics, finance","Financial reporting, bookkeeping, tax preparation, Excel, attention to detail",B.Com / BBA / M.Com / Chartered Accountant,"Certified Public Accountant (CPA), Chartered Accountant (CA)","Tally, QuickBooks, MS Excel","Monthly Budget Report, Simple Tax Return","Accounting Assistant, Junior Accountant","Senior Accountant, Finance Manager, CFO","Deloitte, PwC, EY, KPMG","AccountingCoach, Investopedia, Coursera Accounting Courses","Diploma/B.Com/BBA/BSc Finance/MBA --> Learn Accounting Software (Tally, QuickBooks) --> Intern/Assistant Accountant --> Junior Accountant --> Senior Accountant/Manager",Finance
Actor (Performs roles in plays movies or TV shows),"theater, acting, drama, film, voice, stage, roleplay, arts, communication, literature, English, performance, music, creativity, expression","Acting techniques, improvisation, memorization, stage presence, vocal control",Degree in Performing Arts / Drama School,Professional Acting Certification,"Stage props, teleprompters, cameras","Monologue Performance, Short Film","Stage Actor, TV Actor","Lead Actor, Director, Producer","Netflix, Amazon Studios, National Theatres","MasterClass Acting, Uta Hagen's ""Respect for Acting"", The Actor? Studio",Acting Workshops/Diploma/Drama School --> Build Portfolio/Short Films --> Audition for Roles --> Theater/TV/Film Roles --> Lead Actor/Film Star,Entertainment
Actuary (Uses math to predict risks for insurance and finance),"insurance, risk, statistics, math, probability, finance, commerce, economics, data, analysis, business studies, maths, finance, statistics, accounting","Statistics, probability, financial modeling, Excel, analytical thinking",B.Sc Mathematics / Statistics / Actuarial Science,"Society of Actuaries (SOA), Institute of Actuaries","Coding (R, Python), Excel, actuarial software","Life Expectancy Model, Risk Analysis","Actuarial Analyst, Junior Actuary","Senior Actuary, Chief Risk Officer","MetLife, Aon, Allianz, AXA","SOA Study Materials, BeAnActuary.org, Coursera Statistics",BSc/BA Mathematics/Statistics/Economics --> Learn Actuarial Science --> Pass Actuarial Exams --> Intern/Analyst --> Associate/Fellow Actuary,Finance
Acupuncturist (Heals using tiny needles in the body),"clinic, health, acupuncture, therapy, biology, physics, health science, biology, medicine, wellness, alternative, anatomy, chemistry, physics, biology","Acupuncture techniques, anatomy, patient care, attention to detail",Bachelor? in Acupuncture / Traditional Chinese Medicine,"State Licensure, NCCAOM Certification","Acupuncture needles, TCM tools","Basic Meridian Chart, Treatment Plan","Acupuncture Intern, Assistant Acupuncturist","Senior Acupuncturist, Clinic Owner","Acupuncture Clinics, Wellness Centers","Acupuncture Today, NCCAOM Resources, TCM textbooks",Diploma/Certificate in Acupuncture --> Clinical Practice/Apprenticeship --> License/Certification --> Practitioner --> Senior Practitioner/Clinic Owner,Healthcare
Advertising Manager (Plans ads to help sell products),"media, marketing, advertising, branding, business studies, commerce, communication, creativity, sales, management, economics, English, art, strategy, digital","Creative thinking, market research, communication, campaign management",BBA / MBA Marketing / Advertising Diploma,Certified Digital Marketing Professional,"Google Ads, Photoshop, CRM tools","Social Media Campaign, Print Ad","Advertising Assistant, Junior Copywriter","Advertising Manager, Creative Director","Ogilvy, DDB, Leo Burnett, WPP","HubSpot Academy, Seth Godin books, Coursera Digital Marketing",BBA/MBA/BA Marketing/Mass Communication --> Learn Advertising Tools --> Intern in Advertising Agency --> Executive --> Manager --> Director,Marketing
Aerospace Engineer (Designs airplanes and spacecraft),"aerospace, engineering, physics, maths, mechanics, technology, aerodynamics, design, computer science, science, electronics, robotics, innovation, manufacturing, maths","Aerodynamics, CAD, project management, problem-solving",B.Tech / B.E Aerospace Engineering,"PE License, FAA Certifications","CATIA, MATLAB, ANSYS, SolidWorks","Drone Design, Wing Analysis Report","Aerospace Engineer Intern, Junior Engineer","Senior Engineer, Project Manager, CTO","ISRO, Boeing, Airbus, Lockheed Martin","NASA Technical Papers, MIT OpenCourseWare, Coursera Aerospace",BTech/BE Aerospace/Mechanical --> Learn CAD/Simulation Software --> Internships --> Junior Engineer --> Senior Engineer --> Project Lead,Engineering
Agricultural Engineer (Improves farming tools and machines),"farm, agriculture, biology, environmental science, botany, zoology, chemistry, soil science, ecology, farming, sustainability, biology, maths, earth science, physics","Soil science, irrigation, agricultural machinery, problem-solving",B.Tech Agricultural Engineering / B.Sc Agriculture,"State Engineering Licenses, Agricultural Certifications","AutoCAD, GIS, irrigation software","Automated Irrigation Plan, Soil Study","Junior Agricultural Engineer, Field Engineer","Project Lead, Farm Technology Consultant","John Deere, Mahindra Agri, Bayer Crop Science","FAO e-learning, ICAR resources, Coursera Agriculture",BTech/BE Agricultural Engineering --> Fieldwork and Internships --> Junior Engineer --> Senior Engineer --> Project Manager,Engineering
Air Traffic Controller (Guides airplanes safely in the sky and at airports),"aviation, air traffic, communication, physics, maths, geography, electronics, management, navigation, transportation, safety, monitoring, regulation, meteorology, computers","Multitasking, decision-making, air navigation, stress management",B.Sc Aviation / Air Traffic Management,"FAA Air Traffic Control Certification, ICAO ATC License","Radar systems, communication consoles","Air Traffic Simulation, Flight Tracking","Logistics Assistant, Junior Controller","Senior ATC, Tower Supervisor","FAA, AAI, Eurocontrol, NATS","FAA Training Materials, AviationCourses.com",Diploma/Certificate in ATC --> Pass ATC Exams/Training --> Trainee Controller --> Assistant Controller --> Controller,Transportation
Aircraft Mechanic (Fixes and maintains airplanes),"hangar, aircraft, mechanical, engineering, physics, mechanics, technology, electronics, repair, tools, troubleshooting, maintenance, safety, workshop, applied science","Aircraft maintenance, mechanical troubleshooting, safety compliance",Diploma in Aircraft Maintenance / B.Tech Aeronautical,"A&P License, EASA Part-66 Certification","Aircraft manuals, diagnostic tools","Aircraft Inspection Checklist, Repair Log","Aircraft Mechanic Trainee, Maintenance Technician","Senior Mechanic, Maintenance Supervisor","IndiGo, SpiceJet, Boeing, Airbus","EASA Materials, Aviation Maintenance Magazines",Diploma in Aircraft Maintenance/Engineering --> Apprenticeship --> Junior Mechanic --> Licensed Mechanic --> Senior Mechanic,Transportation
Airline Pilot (Flies airplanes to carry passengers or cargo),"cockpit, aviation, pilot, flying, navigation, physics, mechanics, communication, geography, meteorology, maths, technology, safety, airline, travel","Navigation, meteorology, flight planning, communication",B.Sc Aviation / CPL Training,"Commercial Pilot License, ATPL","Flight Simulators, avionics systems","Short Flight Route Plan, Simulator Practice","Pilot Trainee, First Officer","Captain, Chief Pilot","Air India, Emirates, Indigo, Qatar Airways","JEPPESEN Manuals, PilotInstitute.com",Commercial Pilot License (CPL) --> Flight Training --> Co-Pilot --> Captain --> Senior Pilot,Transportation
Ambulance Driver (Drives ambulance to take sick or injured people to hospitals),"emergency, ambulance, medical, healthcare, first aid, biology, anatomy, health science, quick response, rescue, trauma, medicine, physiology, nursing, safety","Emergency care, driving skills, crisis management, patient handling",Paramedic Certification / EMT Training,"CPR Certification, EMT License","Ambulance equipment, defibrillators","Basic Life Support Drill, Transport Log","Ambulance Driver, EMT Assistant","Senior EMT, Paramedic Supervisor","Red Cross, Private Hospitals, Govt EMS","NREMT Prep, EMT textbooks, Coursera First Aid",High School/Driving License --> Ambulance Driver Training --> Assistant Driver --> Driver --> Senior Driver,Healthcare
Anesthesiologist (Gives medicine to make patients sleep during surgery),"hospital, medicine, anesthesia, biology, chemistry, health science, anatomy, pharmacology, physiology, medical, healthcare, surgery, patient care, science, emergency","Anesthesia administration, patient monitoring, pharmacology",MBBS + MD/DNB Anesthesiology,"Medical Council Registration, Specialty Certification","Anesthesia machines, monitoring devices","Anesthesia Plan for Minor Surgery, Equipment Setup","Resident Anesthesiologist, Junior Anesthetist","Consultant Anesthesiologist, Department Head","Apollo Hospitals, Fortis, AIIMS","Anesthesiology textbooks, Medscape resources",MBBS --> MD in Anesthesiology --> Residency --> Junior Doctor --> Consultant Anesthesiologist,Healthcare
Animal Trainer (Teaches animals tricks or useful skills),"zoo, animal training, biology, zoology, animal behavior, veterinary science, biology, psychology, ecology, environment, pets, wildlife, animal care, botany, animal science","Animal training techniques, observation, patience, behavior modification",Animal Science Diploma / Certification,Certified Professional Dog Trainer,"Leashes, training aids, clickers","Basic Obedience Training Plan, Progress Chart","Animal Trainer Assistant, Dog Trainer","Lead Trainer, Behavior Consultant","Petco, Zoos, Private Training Centers","IAABC, Karen Pryor Academy",Diploma in Animal Training/Behavior --> Apprenticeship/Internship --> Assistant Trainer --> Trainer --> Senior Trainer,Animal Care
